Source,Target,Type,Weight,book,Id
Addam-Marbrand,Jaime-Lannister,Undirected,3,1,Addam-Marbrand
Addam-Marbrand,Tywin-Lannister,Undirected,6,1,Addam-Marbrand
Aegon-I-Targaryen,Daenerys-Targaryen,Undirected,5,1,Aegon-I-Targaryen
Aegon-I-Targaryen,Eddard-Stark,Undirected,4,1,Aegon-I-Targaryen
Aemon-Targaryen-(Maester-Aemon),Alliser-Thorne,Undirected,4,1,Aemon-Targaryen-(Maester-Aemon)
Aemon-Targaryen-(Maester-Aemon),Bowen-Marsh,Undirected,4,1,Aemon-Targaryen-(Maester-Aemon)
Aemon-Targaryen-(Maester-Aemon),Chett,Undirected,9,1,Aemon-Targaryen-(Maester-Aemon)
Aemon-Targaryen-(Maester-Aemon),Clydas,Undirected,5,1,Aemon-Targaryen-(Maester-Aemon)
Aemon-Targaryen-(Maester-Aemon),Jeor-Mormont,Undirected,13,1,Aemon-Targaryen-(Maester-Aemon)
Aemon-Targaryen-(Maester-Aemon),Jon-Snow,Undirected,34,1,Aemon-Targaryen-(Maester-Aemon)
Aemon-Targaryen-(Maester-Aemon),Samwell-Tarly,Undirected,5,1,Aemon-Targaryen-(Maester-Aemon)
Aerys-II-Targaryen,Brandon-Stark,Undirected,4,1,Aerys-II-Targaryen
Aerys-II-Targaryen,Eddard-Stark,Undirected,10,1,Aerys-II-Targaryen
Aerys-II-Targaryen,Gerold-Hightower,Undirected,3,1,Aerys-II-Targaryen
Aerys-II-Targaryen,Jaime-Lannister,Undirected,5,1,Aerys-II-Targaryen
Aerys-II-Targaryen,Jon-Arryn,Undirected,3,1,Aerys-II-Targaryen
Aerys-II-Targaryen,Robert-Baratheon,Undirected,12,1,Aerys-II-Targaryen
Aggo,Daenerys-Targaryen,Undirected,11,1,Aggo
Aggo,Drogo,Undirected,6,1,Aggo
Aggo,Jhogo,Undirected,4,1,Aggo
Aggo,Jorah-Mormont,Undirected,5,1,Aggo
Aggo,Quaro,Undirected,3,1,Aggo
Aggo,Rakharo,Undirected,7,1,Aggo
Albett,Halder,Undirected,3,1,Albett
Albett,Jon-Snow,Undirected,5,1,Albett
Albett,Rast,Undirected,3,1,Albett
Alliser-Thorne,Bowen-Marsh,Undirected,3,1,Alliser-Thorne
Alliser-Thorne,Grenn,Undirected,3,1,Alliser-Thorne
Alliser-Thorne,Halder,Undirected,4,1,Alliser-Thorne
Alliser-Thorne,Jeor-Mormont,Undirected,10,1,Alliser-Thorne
Alliser-Thorne,Jon-Snow,Undirected,32,1,Alliser-Thorne
Alliser-Thorne,Pypar,Undirected,4,1,Alliser-Thorne
Alliser-Thorne,Rast,Undirected,5,1,Alliser-Thorne
Alliser-Thorne,Samwell-Tarly,Undirected,8,1,Alliser-Thorne
Alliser-Thorne,Tyrion-Lannister,Undirected,7,1,Alliser-Thorne
Alyn,Eddard-Stark,Undirected,11,1,Alyn
Alyn,Harwin,Undirected,6,1,Alyn
Alyn,Jory-Cassel,Undirected,8,1,Alyn
Alyn,Robert-Baratheon,Undirected,4,1,Alyn
Alyn,Tomard,Undirected,3,1,Alyn
Arthur-Dayne,Gerold-Hightower,Undirected,4,1,Arthur-Dayne
Arya-Stark,Benjen-Stark,Undirected,3,1,Arya-Stark
Arya-Stark,Bran-Stark,Undirected,14,1,Arya-Stark
Arya-Stark,Catelyn-Stark,Undirected,5,1,Arya-Stark
Arya-Stark,Cersei-Lannister,Undirected,12,1,Arya-Stark
Arya-Stark,Desmond,Undirected,3,1,Arya-Stark
Arya-Stark,Eddard-Stark,Undirected,30,1,Arya-Stark
Arya-Stark,Ilyn-Payne,Undirected,5,1,Arya-Stark
Arya-Stark,Jeyne-Poole,Undirected,10,1,Arya-Stark
Arya-Stark,Joffrey-Baratheon,Undirected,39,1,Arya-Stark
Arya-Stark,Jon-Snow,Undirected,37,1,Arya-Stark
Arya-Stark,Jory-Cassel,Undirected,12,1,Arya-Stark
Arya-Stark,Meryn-Trant,Undirected,4,1,Arya-Stark
Arya-Stark,Mordane,Undirected,39,1,Arya-Stark
Arya-Stark,Mycah,Undirected,18,1,Arya-Stark
Arya-Stark,Myrcella-Baratheon,Undirected,13,1,Arya-Stark
Arya-Stark,Petyr-Baelish,Undirected,3,1,Arya-Stark
Arya-Stark,Rickon-Stark,Undirected,7,1,Arya-Stark
Arya-Stark,Robb-Stark,Undirected,15,1,Arya-Stark
Arya-Stark,Robert-Baratheon,Undirected,8,1,Arya-Stark
Arya-Stark,Rodrik-Cassel,Undirected,3,1,Arya-Stark
Arya-Stark,Sandor-Clegane,Undirected,7,1,Arya-Stark
Arya-Stark,Sansa-Stark,Undirected,104,1,Arya-Stark
Arya-Stark,Syrio-Forel,Undirected,20,1,Arya-Stark
Arya-Stark,Tomard,Undirected,6,1,Arya-Stark
Arya-Stark,Tommen-Baratheon,Undirected,5,1,Arya-Stark
Arya-Stark,Vayon-Poole,Undirected,4,1,Arya-Stark
Arya-Stark,Yoren,Undirected,4,1,Arya-Stark
Arys-Oakheart,Cersei-Lannister,Undirected,3,1,Arys-Oakheart
Balon-Greyjoy,Eddard-Stark,Undirected,3,1,Balon-Greyjoy
Balon-Greyjoy,Robert-Baratheon,Undirected,4,1,Balon-Greyjoy
Balon-Swann,Renly-Baratheon,Undirected,3,1,Balon-Swann
Balon-Swann,Sandor-Clegane,Undirected,3,1,Balon-Swann
Barristan-Selmy,Boros-Blount,Undirected,3,1,Barristan-Selmy
Barristan-Selmy,Cersei-Lannister,Undirected,12,1,Barristan-Selmy
Barristan-Selmy,Eddard-Stark,Undirected,28,1,Barristan-Selmy
Barristan-Selmy,Jaime-Lannister,Undirected,4,1,Barristan-Selmy
Barristan-Selmy,Joffrey-Baratheon,Undirected,6,1,Barristan-Selmy
Barristan-Selmy,Jon-Arryn,Undirected,4,1,Barristan-Selmy
Barristan-Selmy,Meryn-Trant,Undirected,3,1,Barristan-Selmy
Barristan-Selmy,Petyr-Baelish,Undirected,7,1,Barristan-Selmy
Barristan-Selmy,Pycelle,Undirected,8,1,Barristan-Selmy
Barristan-Selmy,Renly-Baratheon,Undirected,13,1,Barristan-Selmy
Barristan-Selmy,Robert-Baratheon,Undirected,40,1,Barristan-Selmy
Barristan-Selmy,Sandor-Clegane,Undirected,3,1,Barristan-Selmy
Barristan-Selmy,Sansa-Stark,Undirected,3,1,Barristan-Selmy
Barristan-Selmy,Varys,Undirected,9,1,Barristan-Selmy
Benjen-Stark,Bran-Stark,Undirected,6,1,Benjen-Stark
Benjen-Stark,Cersei-Lannister,Undirected,3,1,Benjen-Stark
Benjen-Stark,Jaremy-Rykker,Undirected,3,1,Benjen-Stark
Benjen-Stark,Jeor-Mormont,Undirected,9,1,Benjen-Stark
Benjen-Stark,Jon-Snow,Undirected,41,1,Benjen-Stark
Benjen-Stark,Luwin,Undirected,7,1,Benjen-Stark
Benjen-Stark,Mance-Rayder,Undirected,3,1,Benjen-Stark
Benjen-Stark,Robb-Stark,Undirected,7,1,Benjen-Stark
Benjen-Stark,Robert-Baratheon,Undirected,3,1,Benjen-Stark
Benjen-Stark,Theon-Greyjoy,Undirected,4,1,Benjen-Stark
Benjen-Stark,Tyrion-Lannister,Undirected,8,1,Benjen-Stark
Benjen-Stark,Waymar-Royce,Undirected,3,1,Benjen-Stark
Benjen-Stark,Yoren,Undirected,4,1,Benjen-Stark
Beric-Dondarrion,Eddard-Stark,Undirected,3,1,Beric-Dondarrion
Beric-Dondarrion,Gregor-Clegane,Undirected,6,1,Beric-Dondarrion
Beric-Dondarrion,Loras-Tyrell,Undirected,5,1,Beric-Dondarrion
Beric-Dondarrion,Robert-Baratheon,Undirected,5,1,Beric-Dondarrion
Beric-Dondarrion,Sansa-Stark,Undirected,4,1,Beric-Dondarrion
Beric-Dondarrion,Thoros-of-Myr,Undirected,5,1,Beric-Dondarrion
Boros-Blount,Cersei-Lannister,Undirected,9,1,Boros-Blount
Boros-Blount,Joffrey-Baratheon,Undirected,3,1,Boros-Blount
Boros-Blount,Meryn-Trant,Undirected,5,1,Boros-Blount
Boros-Blount,Sansa-Stark,Undirected,6,1,Boros-Blount
Bowen-Marsh,Jeor-Mormont,Undirected,8,1,Bowen-Marsh
Bowen-Marsh,Jon-Snow,Undirected,10,1,Bowen-Marsh
Bowen-Marsh,Samwell-Tarly,Undirected,3,1,Bowen-Marsh
Bran-Stark,Catelyn-Stark,Undirected,18,1,Bran-Stark
Bran-Stark,Cersei-Lannister,Undirected,6,1,Bran-Stark
Bran-Stark,Eddard-Stark,Undirected,19,1,Bran-Stark
Bran-Stark,Hali,Undirected,3,1,Bran-Stark
Bran-Stark,Hallis-Mollen,Undirected,3,1,Bran-Stark
Bran-Stark,Hodor,Undirected,29,1,Bran-Stark
Bran-Stark,Hullen,Undirected,3,1,Bran-Stark
Bran-Stark,Jeor-Mormont,Undirected,4,1,Bran-Stark
Bran-Stark,Joffrey-Baratheon,Undirected,3,1,Bran-Stark
Bran-Stark,Jon-Arryn,Undirected,7,1,Bran-Stark
Bran-Stark,Jon-Snow,Undirected,56,1,Bran-Stark
Bran-Stark,Jory-Cassel,Undirected,11,1,Bran-Stark
Bran-Stark,Joseth,Undirected,4,1,Bran-Stark
Bran-Stark,Luwin,Undirected,65,1,Bran-Stark
Bran-Stark,Nan,Undirected,17,1,Bran-Stark
Bran-Stark,Osha,Undirected,12,1,Bran-Stark
Bran-Stark,Petyr-Baelish,Undirected,3,1,Bran-Stark
Bran-Stark,Renly-Baratheon,Undirected,3,1,Bran-Stark
Bran-Stark,Rickard-Karstark,Undirected,4,1,Bran-Stark
Bran-Stark,Rickard-Stark,Undirected,4,1,Bran-Stark
Bran-Stark,Rickon-Stark,Undirected,32,1,Bran-Stark
Bran-Stark,Robb-Stark,Undirected,112,1,Bran-Stark
Bran-Stark,Robert-Baratheon,Undirected,11,1,Bran-Stark
Bran-Stark,Rodrik-Cassel,Undirected,6,1,Bran-Stark
Bran-Stark,Sansa-Stark,Undirected,10,1,Bran-Stark
Bran-Stark,Stiv,Undirected,4,1,Bran-Stark
Bran-Stark,Theon-Greyjoy,Undirected,23,1,Bran-Stark
Bran-Stark,Tommen-Baratheon,Undirected,5,1,Bran-Stark
Bran-Stark,Tyrion-Lannister,Undirected,31,1,Bran-Stark
Bran-Stark,Yoren,Undirected,3,1,Bran-Stark
Brandon-Stark,Eddard-Stark,Undirected,11,1,Brandon-Stark
Brandon-Stark,Lyanna-Stark,Undirected,4,1,Brandon-Stark
Brandon-Stark,Petyr-Baelish,Undirected,14,1,Brandon-Stark
Brandon-Stark,Rickard-Stark,Undirected,3,1,Brandon-Stark
Brandon-Stark,Robert-Baratheon,Undirected,5,1,Brandon-Stark
Bronn,Catelyn-Stark,Undirected,6,1,Bronn
Bronn,Chiggen,Undirected,8,1,Bronn
Bronn,Marillion,Undirected,4,1,Bronn
Bronn,Rodrik-Cassel,Undirected,4,1,Bronn
Bronn,Shae,Undirected,3,1,Bronn
Bronn,Shagga,Undirected,3,1,Bronn
Bronn,Tyrion-Lannister,Undirected,61,1,Bronn
Bronn,Tywin-Lannister,Undirected,4,1,Bronn
Bronn,Vardis-Egen,Undirected,11,1,Bronn
Bronn,Willis-Wode,Undirected,5,1,Bronn
Brynden-Tully,Catelyn-Stark,Undirected,16,1,Brynden-Tully
Brynden-Tully,Edmure-Tully,Undirected,3,1,Brynden-Tully
Brynden-Tully,Hoster-Tully,Undirected,5,1,Brynden-Tully
Brynden-Tully,Jaime-Lannister,Undirected,7,1,Brynden-Tully
Brynden-Tully,Lysa-Arryn,Undirected,10,1,Brynden-Tully
Brynden-Tully,Nestor-Royce,Undirected,3,1,Brynden-Tully
Brynden-Tully,Robb-Stark,Undirected,9,1,Brynden-Tully
Brynden-Tully,Theon-Greyjoy,Undirected,6,1,Brynden-Tully
Brynden-Tully,Tyrion-Lannister,Undirected,4,1,Brynden-Tully
Brynden-Tully,Tywin-Lannister,Undirected,3,1,Brynden-Tully
Brynden-Tully,Walder-Frey,Undirected,3,1,Brynden-Tully
Catelyn-Stark,Cersei-Lannister,Undirected,12,1,Catelyn-Stark
Catelyn-Stark,Colemon,Undirected,3,1,Catelyn-Stark
Catelyn-Stark,Donnel-Waynwood,Undirected,3,1,Catelyn-Stark
Catelyn-Stark,Eddard-Stark,Undirected,64,1,Catelyn-Stark
Catelyn-Stark,Edmure-Tully,Undirected,7,1,Catelyn-Stark
Catelyn-Stark,Eon-Hunter,Undirected,3,1,Catelyn-Stark
Catelyn-Stark,Hallis-Mollen,Undirected,10,1,Catelyn-Stark
Catelyn-Stark,Hoster-Tully,Undirected,6,1,Catelyn-Stark
Catelyn-Stark,Jaime-Lannister,Undirected,9,1,Catelyn-Stark
Catelyn-Stark,Joffrey-Baratheon,Undirected,4,1,Catelyn-Stark
Catelyn-Stark,Jon-Arryn,Undirected,11,1,Catelyn-Stark
Catelyn-Stark,Jon-Snow,Undirected,14,1,Catelyn-Stark
Catelyn-Stark,Jon-Umber-(Greatjon),Undirected,4,1,Catelyn-Stark
Catelyn-Stark,Luwin,Undirected,14,1,Catelyn-Stark
Catelyn-Stark,Lysa-Arryn,Undirected,33,1,Catelyn-Stark
Catelyn-Stark,Marillion,Undirected,6,1,Catelyn-Stark
Catelyn-Stark,Masha-Heddle,Undirected,5,1,Catelyn-Stark
Catelyn-Stark,Moreo-Tumitis,Undirected,3,1,Catelyn-Stark
Catelyn-Stark,Mya-Stone,Undirected,9,1,Catelyn-Stark
Catelyn-Stark,Mychel-Redfort,Undirected,3,1,Catelyn-Stark
Catelyn-Stark,Nestor-Royce,Undirected,3,1,Catelyn-Stark
Catelyn-Stark,Petyr-Baelish,Undirected,22,1,Catelyn-Stark
Catelyn-Stark,Rickard-Karstark,Undirected,6,1,Catelyn-Stark
Catelyn-Stark,Rickon-Stark,Undirected,3,1,Catelyn-Stark
Catelyn-Stark,Robb-Stark,Undirected,49,1,Catelyn-Stark
Catelyn-Stark,Robert-Arryn,Undirected,3,1,Catelyn-Stark
Catelyn-Stark,Robert-Baratheon,Undirected,22,1,Catelyn-Stark
Catelyn-Stark,Rodrik-Cassel,Undirected,25,1,Catelyn-Stark
Catelyn-Stark,Sansa-Stark,Undirected,9,1,Catelyn-Stark
Catelyn-Stark,Stevron-Frey,Undirected,5,1,Catelyn-Stark
Catelyn-Stark,Theon-Greyjoy,Undirected,9,1,Catelyn-Stark
Catelyn-Stark,Tyrion-Lannister,Undirected,49,1,Catelyn-Stark
Catelyn-Stark,Tytos-Blackwood,Undirected,4,1,Catelyn-Stark
Catelyn-Stark,Tywin-Lannister,Undirected,7,1,Catelyn-Stark
Catelyn-Stark,Vardis-Egen,Undirected,5,1,Catelyn-Stark
Catelyn-Stark,Varys,Undirected,10,1,Catelyn-Stark
Catelyn-Stark,Walder-Frey,Undirected,13,1,Catelyn-Stark
Catelyn-Stark,Wendel-Manderly,Undirected,3,1,Catelyn-Stark
Catelyn-Stark,Willis-Wode,Undirected,5,1,Catelyn-Stark
Cayn,Eddard-Stark,Undirected,7,1,Cayn
Cayn,Renly-Baratheon,Undirected,3,1,Cayn
Cayn,Tomard,Undirected,6,1,Cayn
Cersei-Lannister,Eddard-Stark,Undirected,69,1,Cersei-Lannister
Cersei-Lannister,Ilyn-Payne,Undirected,4,1,Cersei-Lannister
Cersei-Lannister,Jaime-Lannister,Undirected,16,1,Cersei-Lannister
Cersei-Lannister,Janos-Slynt,Undirected,4,1,Cersei-Lannister
Cersei-Lannister,Joffrey-Baratheon,Undirected,42,1,Cersei-Lannister
Cersei-Lannister,Jon-Arryn,Undirected,7,1,Cersei-Lannister
Cersei-Lannister,Jon-Snow,Undirected,4,1,Cersei-Lannister
Cersei-Lannister,Jory-Cassel,Undirected,5,1,Cersei-Lannister
Cersei-Lannister,Meryn-Trant,Undirected,4,1,Cersei-Lannister
Cersei-Lannister,Mordane,Undirected,3,1,Cersei-Lannister
Cersei-Lannister,Myrcella-Baratheon,Undirected,7,1,Cersei-Lannister
Cersei-Lannister,Petyr-Baelish,Undirected,13,1,Cersei-Lannister
Cersei-Lannister,Pycelle,Undirected,9,1,Cersei-Lannister
Cersei-Lannister,Renly-Baratheon,Undirected,5,1,Cersei-Lannister
Cersei-Lannister,Robert-Baratheon,Undirected,72,1,Cersei-Lannister
Cersei-Lannister,Sandor-Clegane,Undirected,5,1,Cersei-Lannister
Cersei-Lannister,Sansa-Stark,Undirected,29,1,Cersei-Lannister
Cersei-Lannister,Stannis-Baratheon,Undirected,5,1,Cersei-Lannister
Cersei-Lannister,Tommen-Baratheon,Undirected,4,1,Cersei-Lannister
Cersei-Lannister,Tyrion-Lannister,Undirected,27,1,Cersei-Lannister
Cersei-Lannister,Tywin-Lannister,Undirected,10,1,Cersei-Lannister
Cersei-Lannister,Varys,Undirected,19,1,Cersei-Lannister
Cersei-Lannister,Vayon-Poole,Undirected,4,1,Cersei-Lannister
Chella,Tyrion-Lannister,Undirected,5,1,Chella
Chett,Jon-Snow,Undirected,4,1,Chett
Chett,Samwell-Tarly,Undirected,6,1,Chett
Chiggen,Tyrion-Lannister,Undirected,5,1,Chiggen
Chiggen,Willis-Wode,Undirected,3,1,Chiggen
Clement-Piper,Karyl-Vance,Undirected,4,1,Clement-Piper
Cohollo,Daenerys-Targaryen,Undirected,7,1,Cohollo
Cohollo,Drogo,Undirected,9,1,Cohollo
Cohollo,Haggo,Undirected,7,1,Cohollo
Cohollo,Qotho,Undirected,6,1,Cohollo
Colemon,Vardis-Egen,Undirected,4,1,Colemon
Conn,Coratt,Undirected,5,1,Conn
Conn,Shagga,Undirected,9,1,Conn
Conn,Tyrion-Lannister,Undirected,6,1,Conn
Daenerys-Targaryen,Doreah,Undirected,15,1,Daenerys-Targaryen
Daenerys-Targaryen,Drogo,Undirected,101,1,Daenerys-Targaryen
Daenerys-Targaryen,Eddard-Stark,Undirected,5,1,Daenerys-Targaryen
Daenerys-Targaryen,Eroeh,Undirected,5,1,Daenerys-Targaryen
Daenerys-Targaryen,Haggo,Undirected,12,1,Daenerys-Targaryen
Daenerys-Targaryen,Illyrio-Mopatis,Undirected,24,1,Daenerys-Targaryen
Daenerys-Targaryen,Irri,Undirected,25,1,Daenerys-Targaryen
Daenerys-Targaryen,Jhiqui,Undirected,26,1,Daenerys-Targaryen
Daenerys-Targaryen,Jhogo,Undirected,17,1,Daenerys-Targaryen
Daenerys-Targaryen,Jorah-Mormont,Undirected,75,1,Daenerys-Targaryen
Daenerys-Targaryen,Mirri-Maz-Duur,Undirected,31,1,Daenerys-Targaryen
Daenerys-Targaryen,Qotho,Undirected,18,1,Daenerys-Targaryen
Daenerys-Targaryen,Quaro,Undirected,5,1,Daenerys-Targaryen
Daenerys-Targaryen,Rakharo,Undirected,4,1,Daenerys-Targaryen
Daenerys-Targaryen,Rhaegar-Targaryen,Undirected,4,1,Daenerys-Targaryen
Daenerys-Targaryen,Robert-Baratheon,Undirected,11,1,Daenerys-Targaryen
Daenerys-Targaryen,Varys,Undirected,5,1,Daenerys-Targaryen
Daenerys-Targaryen,Viserys-Targaryen,Undirected,37,1,Daenerys-Targaryen
Danwell-Frey,Hosteen-Frey,Undirected,3,1,Danwell-Frey
Danwell-Frey,Jared-Frey,Undirected,3,1,Danwell-Frey
Danwell-Frey,Walder-Frey,Undirected,3,1,Danwell-Frey
Dareon,Jon-Snow,Undirected,6,1,Dareon
Daryn-Hornwood,Eddard-Stark,Undirected,3,1,Daryn-Hornwood
Daryn-Hornwood,Torrhen-Karstark,Undirected,3,1,Daryn-Hornwood
Desmond,Eddard-Stark,Undirected,4,1,Desmond
Dolf,Shagga,Undirected,7,1,Dolf
Donal-Noye,Jon-Snow,Undirected,7,1,Donal-Noye
Doreah,Drogo,Undirected,5,1,Doreah
Doreah,Irri,Undirected,14,1,Doreah
Doreah,Jhiqui,Undirected,11,1,Doreah
Doreah,Jorah-Mormont,Undirected,3,1,Doreah
Doreah,Viserys-Targaryen,Undirected,3,1,Doreah
Drogo,Haggo,Undirected,9,1,Drogo
Drogo,Illyrio-Mopatis,Undirected,16,1,Drogo
Drogo,Irri,Undirected,9,1,Drogo
Drogo,Jhiqui,Undirected,5,1,Drogo
Drogo,Jhogo,Undirected,7,1,Drogo
Drogo,Jommo,Undirected,3,1,Drogo
Drogo,Jorah-Mormont,Undirected,16,1,Drogo
Drogo,Mirri-Maz-Duur,Undirected,12,1,Drogo
Drogo,Ogo,Undirected,11,1,Drogo
Drogo,Qotho,Undirected,13,1,Drogo
Drogo,Quaro,Undirected,3,1,Drogo
Drogo,Rakharo,Undirected,4,1,Drogo
Drogo,Rhaego,Undirected,5,1,Drogo
Drogo,Robert-Baratheon,Undirected,3,1,Drogo
Drogo,Viserys-Targaryen,Undirected,19,1,Drogo
Dywen,Jon-Snow,Undirected,4,1,Dywen
Eddard-Stark,Edmure-Tully,Undirected,3,1,Eddard-Stark
Eddard-Stark,Galbart-Glover,Undirected,4,1,Eddard-Stark
Eddard-Stark,Gendry,Undirected,3,1,Eddard-Stark
Eddard-Stark,Gerold-Hightower,Undirected,3,1,Eddard-Stark
Eddard-Stark,Gregor-Clegane,Undirected,10,1,Eddard-Stark
Eddard-Stark,Harwin,Undirected,5,1,Eddard-Stark
Eddard-Stark,High-Septon-(fat_one),Undirected,4,1,Eddard-Stark
Eddard-Stark,Howland-Reed,Undirected,3,1,Eddard-Stark
Eddard-Stark,Ilyn-Payne,Undirected,6,1,Eddard-Stark
Eddard-Stark,Jacks,Undirected,4,1,Eddard-Stark
Eddard-Stark,Jaime-Lannister,Undirected,27,1,Eddard-Stark
Eddard-Stark,Janos-Slynt,Undirected,4,1,Eddard-Stark
Eddard-Stark,Joffrey-Baratheon,Undirected,26,1,Eddard-Stark
Eddard-Stark,Jon-Arryn,Undirected,47,1,Eddard-Stark
Eddard-Stark,Jon-Snow,Undirected,38,1,Eddard-Stark
Eddard-Stark,Jory-Cassel,Undirected,32,1,Eddard-Stark
Eddard-Stark,Joss,Undirected,5,1,Eddard-Stark
Eddard-Stark,Loras-Tyrell,Undirected,12,1,Eddard-Stark
Eddard-Stark,Luwin,Undirected,16,1,Eddard-Stark
Eddard-Stark,Lyanna-Stark,Undirected,19,1,Eddard-Stark
Eddard-Stark,Lysa-Arryn,Undirected,12,1,Eddard-Stark
Eddard-Stark,Marq-Piper,Undirected,3,1,Eddard-Stark
Eddard-Stark,Mordane,Undirected,11,1,Eddard-Stark
Eddard-Stark,Mycah,Undirected,3,1,Eddard-Stark
Eddard-Stark,Petyr-Baelish,Undirected,81,1,Eddard-Stark
Eddard-Stark,Porther,Undirected,4,1,Eddard-Stark
Eddard-Stark,Pycelle,Undirected,33,1,Eddard-Stark
Eddard-Stark,Raymun-Darry,Undirected,4,1,Eddard-Stark
Eddard-Stark,Renly-Baratheon,Undirected,33,1,Eddard-Stark
Eddard-Stark,Rhaegar-Targaryen,Undirected,10,1,Eddard-Stark
Eddard-Stark,Rickard-Karstark,Undirected,4,1,Eddard-Stark
Eddard-Stark,Rickon-Stark,Undirected,4,1,Eddard-Stark
Eddard-Stark,Robb-Stark,Undirected,16,1,Eddard-Stark
Eddard-Stark,Robert-Baratheon,Undirected,291,1,Eddard-Stark
Eddard-Stark,Rodrik-Cassel,Undirected,7,1,Eddard-Stark
Eddard-Stark,Sandor-Clegane,Undirected,10,1,Eddard-Stark
Eddard-Stark,Sansa-Stark,Undirected,34,1,Eddard-Stark
Eddard-Stark,Stannis-Baratheon,Undirected,18,1,Eddard-Stark
Eddard-Stark,Syrio-Forel,Undirected,6,1,Eddard-Stark
Eddard-Stark,Theon-Greyjoy,Undirected,5,1,Eddard-Stark
Eddard-Stark,Tobho-Mott,Undirected,7,1,Eddard-Stark
Eddard-Stark,Tomard,Undirected,15,1,Eddard-Stark
Eddard-Stark,Torrhen-Karstark,Undirected,5,1,Eddard-Stark
